Links Clicked Detail Report,,,,,,,
Report Run On:,1/15/2016 1:11:02 PM,,,,,,
Client ID:,7215658,,,,,,
Client Name:,Meyer Sound Laboratories   Inc.,,,,,,
Email Send ID:,147638,,,,,,
List ID(s) Reported On:,46473,,,,,,
Send Start Time,1/14/2016 12:39:41 PM,,,,,,
Send Complete Time,1/14/2016 12:40:06 PM,,,,,,
Email Name:,1601_ise_promo_01,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://meyersound.com/events/2016/ise-2016,,95,26.836%,105,25.735%,0.262185%,
https://www.iseurope.org/infocomm-masterclass?conference_id=4001438,,60,16.949%,67,16.422%,0.16559%,
http://www.meyersound.com/product/constellation,,51,14.407%,53,12.99%,0.140752%,
https://registration.n200.com/survey/11xcdyxxbsbfr,,48,13.559%,74,18.137%,0.132472%,
http://www.meyersound.com/product/leopard/,,32,9.04%,34,8.333%,0.088315%,
Update Profile,,20,5.65%,23,5.637%,0.055197%,
http://meyersound.com/product/leopard/,,18,5.085%,22,5.392%,0.049677%,
http://www.meyersound.com,,12,3.39%,12,2.941%,0.033118%,
http://meyersound.com/product/leo-family/,,9,2.542%,9,2.206%,0.024839%,
http://www.meyersound.com/mail/2016/1601_ise_promo_01/index.html,,9,2.542%,9,2.206%,0.024839%,
Totals,,354,,408,,,
,,,,,,,
,,,,,,,
