Email Send Overview Report,,,
Report Run Date:,,1/15/2016 1:03:06 PM,
Client ID:,,7215658,
Client Name:,,Meyer Sound Laboratories   Inc.,
Email Send ID:,,147638,
List ID(s) Reported On:,,46473,
Send Start Time,,1/14/2016 12:39:41 PM,
Send Complete Time,,1/14/2016 12:40:06 PM,
Email Name:,,1601_ise_promo_01,
,,,
Deliverability Details,,,
Event,Unique,Total,Percentage
Sent,36713,,
Delivered,36234,,98.695%
Total Bounces,479,,1.305%
Hard Bounces,274,,0.746%
Soft Bounces,205,,0.558%
Opens,7101,11208,19.598%
Clicks,292,408,0.806%
Forwards,0,0,0.00%
Conversions,0,0,0.00%
Surveys,0,,0.00%
Unsubscribes,20,,0.055%
Not Opened,29133,,80.402%
Not Clicked,35942,,99.194%
