"Title","1511_amie_demo_launch 11/19/2015 1:07:05 PM"
"Created","2015-11-19 13:08:06"
"Mailing ID","9691"
"Total Recipients","115"
"Success","112"
"Pending","0"
"Not Attempted","0"
"Active","0"
"Retry","0"
"Transient Failure","1"
"Permanent Failure","2"
"Expired","0"
"Paused","0"
"Mail Merge Skipped","0"
"Mail Merge Abort","0"
"Total Undelivered","3"
"Opens","102"
"Unique Opens","61","54%"
"Clickthroughs","17"
"Clickstreams","0"
"URL","Count","Unique Count","Percent"
"http://eoaclk.com/0VgOfYNHrM/[emailaddr]/","1","1","0%"
"http://eoaclk.com/gBXqCSYAaU/[emailaddr]/","8","7","6%"
"http://eoaclk.com/ldzHkAk8lk/[emailaddr]/","3","3","2%"
"http://eoaclk.com/XCOMbSpnew/[emailaddr]/","5","4","3%"
