"Title","151208_sound_stories_metallica_quebec 12/8/2015 10:27:11 AM"
"Created","2015-12-08 11:21:58"
"Mailing ID","9787"
"Total Recipients","30304"
"Success","30282"
"Pending","0"
"Not Attempted","0"
"Active","0"
"Retry","0"
"Transient Failure","12"
"Permanent Failure","10"
"Expired","0"
"Paused","0"
"Mail Merge Skipped","0"
"Mail Merge Abort","0"
"Total Undelivered","22"
"Opens","12,423"
"Unique Opens","7,549","24%"
"Clickthroughs","1,560"
"Clickstreams","0"
"URL","Count","Unique Count","Percent"
"http://bit.ly/1N3VHJX","158","140","0%"
"http://bit.ly/1ORX1Co","995","892","2%"
"http://bit.ly/1Rn72tV","83","82","0%"
"http://bit.ly/1Rn7dp6","159","151","0%"
"http://twitter.com/MeyerSound","6","6","0%"
"http://twitter.com/meyersound/","13","8","0%"
"http://twitter.com/NAMM","5","5","0%"
"http://twitter.com/rlbugg","5","5","0%"
"http://twitter.com/search?q=#CSUF's","5","5","0%"
"http://twitter.com/search?q=#d-mitri","4","4","0%"
"http://twitter.com/search?q=#SchoolOfRock","5","5","0%"
"http://twitter.com/search?q=#soundmatters","5","5","0%"
"http://twitter.com/SoRmusical","5","5","0%"
"http://twitter.com/UCISound:","5","5","0%"
"http://www.meyersound.com/news/email/","33","28","0%"
"http://www.meyersound.com/news/email/email_to_friend/?ss=2&id=35","13","13","0%"
"http://www.meyersound.com/news/sound_stories_archives/sound_stories_235.html","38","35","0%"
"https://t.co/2Frjk5Bydq","5","5","0%"
"https://t.co/BScTfNotVi","7","7","0%"
"https://t.co/cGwzenpZKt","5","5","0%"
"https://t.co/nOl9kIT4UY","6","6","0%"
