"Title","151216_ddr_video 12/17/2015 1:08:25 PM"
"Created","2015-12-17 13:09:58"
"Mailing ID","9897"
"Total Recipients","583"
"Success","530"
"Pending","0"
"Not Attempted","0"
"Active","0"
"Retry","0"
"Transient Failure","10"
"Permanent Failure","43"
"Expired","0"
"Paused","0"
"Mail Merge Skipped","0"
"Mail Merge Abort","0"
"Total Undelivered","53"
"Opens","737"
"Unique Opens","232","43%"
"Clickthroughs","53"
"Clickstreams","0"
"URL","Count","Unique Count","Percent"
"http://meyersound.com/product/leopard/presentation.php","19","9","1%"
"http://meyersound.com/product/leopard/presentation/index.php","30","21","3%"
"http://www.psneurope.com/exclusive-over-8000-leopards-in-the-wild-reveals-meyer-sound/","4","3","0%"
