Title;1512_holiday_video_01 12/17/2015 3:48:25 PM;;
Created;2015-12-17 15:50:07;;
Mailing ID;9910;;
Total Recipients;77695;;
Success;15130;;
Pending;0;;
Not Attempted;0;;
Active;0;;
Retry;0;;
Transient Failure;9318;;
Permanent Failure;1441;;
Expired;0;;
Paused;0;;
Mail Merge Skipped;0;;
Mail Merge Abort;0;;
Total Undelivered;10759;;
Opens;9345;;
Unique Opens;16376;;
Clickthroughs;1518;;
Clickstreams;0;;
URL;Count;Unique Count;Percent
http://eoaclk.com/gpCSE9Oxnj/[emailaddr]/;8;7;0%
http://eoaclk.com/jffHWXNbGl/[emailaddr]/;88;75;0%
http://eoaclk.com/qQ3rq5uF3w/[emailaddr]/;998;943;6%
http://eoaclk.com/QUifwR0OTH/[emailaddr]/;412;381;2%
http://eoaclk.com/xjE4sOfsJZ/[emailaddr]/;12;11;0%
